Time,Thermoelectric,Thermoresistive,Thermo-Optical,Thermo-Acoustic,Avg Temp,Action
0,13.19,8.74,40.63,29.67,23.06,None
1,47.19,38.79,52.49,58.58,49.27,Fan ON
2,30.52,13.01,40.96,54.94,34.86,None
3,14.28,33.95,58.15,37.17,35.89,Fan ON
4,51.93,56.11,26.86,15.36,37.56,Fan ON
5,37.63,23.40,4.84,43.62,27.37,None
6,1.30,10.91,15.54,53.93,20.42,None
7,38.85,47.58,9.49,19.65,28.89,None
8,16.83,44.60,12.69,24.07,24.55,None
9,17.81,23.47,2.94,13.57,14.45,None
10,55.15,43.10,5.59,24.06,31.98,None
11,54.43,60.00,14.05,44.04,43.13,Fan ON
12,11.37,58.00,12.82,39.09,30.32,None
13,27.65,47.45,2.01,1.96,19.77,None
14,45.71,15.58,27.72,16.76,26.44,None
15,43.84,43.60,14.62,0.00,25.52,None
16,15.97,55.89,31.46,37.92,35.31,Fan ON
17,29.70,39.86,13.02,12.15,23.68,None
18,24.85,9.86,39.76,40.39,28.72,None
19,59.38,50.44,14.58,54.88,44.82,Fan ON
20,29.34,27.06,11.97,3.98,18.09,None
21,49.49,28.60,1.37,28.00,26.87,None
22,37.91,12.15,16.97,21.42,22.11,None
23,44.48,49.02,53.39,57.00,50.97,Fan ON
24,26.64,41.96,31.77,59.67,40.01,Fan ON
25,14.10,37.41,51.43,8.57,27.87,None
26,37.22,16.56,43.06,18.07,28.73,None
27,6.58,9.97,22.18,41.33,20.01,None
28,38.42,25.96,19.44,30.22,28.51,None
29,47.88,31.21,26.35,6.82,28.07,None
30,58.54,18.30,35.37,57.77,42.49,Fan ON
31,5.36,23.01,58.47,57.80,36.16,Fan ON
32,58.36,11.05,44.97,23.31,34.42,None
33,39.35,53.08,35.53,7.93,33.97,None
34,56.72,45.33,54.41,18.56,43.76,Fan ON
35,33.50,24.94,29.02,1.25,22.18,None
36,25.74,56.47,32.09,27.57,35.47,Fan ON
37,45.13,44.71,44.68,20.14,38.67,Fan ON
38,14.27,25.85,44.46,28.26,28.21,None
39,0.91,20.04,56.52,44.78,30.56,None
